,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,9.3,1,0.016047301,4,249.8092,1999,1,0,0,3735.138
1,5.92,0,0.019278216,14,48.2692,2009,1,2,1,443.4228
2,17.5,1,0.016760075,10,141.618,1999,1,0,0,2097.27
4,8.93,1,0,9,53.8614,1987,0,2,0,994.7052
5,10.395,0,0,0,51.4008,2009,1,2,1,556.6088
6,13.65,0,0.012741089,13,57.6588,1987,0,2,0,343.5528
10,11.8,1,0,6,45.5402,1999,1,0,0,1516.0266
11,18.5,0,0.045463773,4,144.1102,1997,2,0,0,2187.153
12,15.1,0,0.1000135,6,145.4786,1999,1,0,0,1589.2646
13,17.6,0,0.047257328,13,119.6782,1997,2,0,0,2145.2076
14,16.35,1,0.0680243,6,196.4426,1987,0,2,0,1977.426
15,9,0,0.069088961,2,56.3614,1997,2,0,0,1547.3192
16,11.8,1,0.008596051,8,115.3492,2009,1,2,1,1621.8888
17,9,0,0.069196376,2,54.3614,1999,1,0,0,718.3982
19,13.35,1,0.10249212,4,230.5352,2004,2,1,0,2748.4224
20,18.85,0,0.138190277,13,250.8724,1987,0,2,0,3775.086
22,14.6,1,0.025698134,9,196.5084,2004,2,1,0,1587.2672
24,13.85,0,0.025896485,5,165.021,1997,2,0,0,4078.025
26,7.645,0,0.066693437,13,42.3112,2004,2,1,0,1065.28
27,11.65,1,0.019356132,7,39.1164,1987,0,2,0,308.9312
31,18.6,1,0.080829372,8,96.4436,2009,1,2,1,2741.7644
32,18.7,1,0,13,256.6672,2009,1,2,1,3068.0064
34,17.5,1,0.097904029,14,174.8738,1997,2,0,0,2085.2856
35,10,1,0.089291137,8,146.7102,1999,1,0,0,3791.0652
37,8.85,0,0.113123893,14,122.5388,2009,1,2,1,1609.9044
40,13.35,1,0.102511504,4,230.6352,1997,2,0,0,3435.528
41,9.8,1,0.02681843,10,126.002,1987,0,2,0,2150.534
42,13.6,1,0.117818348,13,192.9136,1999,1,0,0,2527.3768
43,21.35,1,0.069102831,3,259.9278,2009,1,2,1,6768.5228
44,12.15,0,0.042277867,3,126.5046,1987,0,2,0,373.5138
48,15.85,0,0.121632721,0,60.622,1997,2,0,0,2576.646
50,7.39,1,0.067779712,8,143.8812,1997,2,0,0,3134.5864
51,10.195,1,0.159803853,5,141.5154,1987,0,2,0,850.8924
52,9.895,0,0.028696932,3,117.0492,1987,0,2,0,810.9444
55,7.905,1,0.010053105,13,249.0408,2009,1,2,1,6258.52
57,8.365,1,0.071958197,7,38.0506,1999,1,0,0,796.9626
58,15.1,1,0.173481304,13,194.511,1997,2,0,0,4910.275
60,10,1,0,6,246.9144,2009,1,2,1,3185.1872
66,19.35,1,0.033082215,10,172.5738,2004,2,1,0,4865.6664
69,8.645,1,0.143422643,8,95.841,1997,2,0,0,2027.361
70,15.6,0,0.105296072,13,170.1764,1997,2,0,0,3435.528
71,15.85,0,0.121531501,0,59.222,1987,0,2,0,599.22
74,7.825,1,0.186357148,9,254.3698,1999,1,0,0,5580.7356
75,8.39,0,0.024205661,5,114.0176,1997,2,0,0,2290.352
76,12.85,1,0.033230816,13,172.3422,1999,1,0,0,1207.0954
80,7.76,1,0.059352241,13,101.87,1997,2,0,0,1697.79
81,11.8,0,0.014087057,5,180.3344,1997,2,0,0,1427.4752
82,16.75,1,0.045230944,13,187.9556,2009,1,2,1,4693.89
86,6.055,1,0.025403898,6,160.992,2004,2,1,0,2716.464
88,6.305,0,0.123115764,13,95.6436,1997,2,0,0,661.8052
89,20.85,1,0.039624006,10,117.2808,1999,1,0,0,1523.3504
91,8.895,1,0.105274111,4,39.9138,1999,1,0,0,690.4346
93,19.7,1,0.053212652,6,57.893,2004,2,1,0,622.523
94,9.8,1,0.024378706,8,114.5492,2004,2,1,0,1274.3412
96,12.15,1,0.131383762,5,246.046,1999,1,0,0,1231.73
97,8.75,0,0.07461309,6,187.4556,2004,2,1,0,3755.112
99,8.75,0,0.074627201,6,187.8556,1997,2,0,0,1314.2892
102,8.31,0,0.115857223,13,179.1028,1999,1,0,0,3896.2616
103,16.75,0,0.024832806,14,38.7822,1987,0,2,0,667.7974
104,19.75,1,0.034027909,13,212.0902,2009,1,2,1,3185.853
105,17.1,0,0.0467696,3,141.1838,1987,0,2,0,2247.7408
106,10.5,0,0.116576702,0,163.121,1987,0,2,0,1794.331
109,14.15,1,0.035913805,14,41.4138,1987,0,2,0,812.276
110,13.3,1,0.079806266,4,232.53,1997,2,0,0,699.09
115,7.5,1,0.032677678,5,239.0906,1999,1,0,0,5942.265
117,7.485,1,0.06911065,13,109.0228,2004,2,1,0,2542.0244
119,11.65,1,0.040081193,13,227.0694,2009,1,2,1,1141.847
123,8.6,0,0.040197932,3,190.153,2004,2,1,0,3036.048
125,17.7,1,0.01161096,5,95.041,2004,2,1,0,868.869
126,14.15,1,0.183507295,14,82.4276,1997,2,0,0,1137.1864
128,8.88,1,0.086708987,7,151.7682,1987,0,2,0,762.341
131,13.5,1,0.07266912,9,160.292,1997,2,0,0,1438.128
134,7.855,1,0.011307038,3,188.5188,2009,1,2,1,952.094
135,7.235,1,0.076855628,9,116.0492,1997,2,0,0,1969.4364
140,8.02,1,0.019866705,9,154.5972,2004,2,1,0,1402.1748
143,16.6,1,0.027622076,9,177.6344,1999,1,0,0,2676.516
144,14,0,0,5,53.064,2004,2,1,0,905.488
145,18.6,1,0.039355947,5,246.3802,1999,1,0,0,7370.406
146,16,1,0.060836524,15,226.8404,2004,2,1,0,6301.1312
147,17.6,1,0.082316506,8,160.692,2004,2,1,0,1597.92
148,21.25,1,0.155350299,13,178.237,2004,2,1,0,529.311
149,7.235,1,0.076841095,9,117.5492,2004,2,1,0,1969.4364
151,13.85,0,0.026001976,5,161.521,2009,1,2,1,1794.331
152,13.65,0,0.073209447,5,197.6426,2009,1,2,1,2768.3964
154,7.365,1,0.042560252,6,226.172,1997,2,0,0,3169.208
155,18.35,1,0.014081156,9,223.5746,2009,1,2,1,3589.9936
156,5.465,0,0,0,132.5626,2009,1,2,1,262.3252
159,14,0,0.060376776,5,154.5656,1987,0,2,0,2471.4496
160,14,0,0.04192285,13,54.764,1987,0,2,0,1331.6
162,5.905,1,0.045838211,3,222.5456,2009,1,2,1,3315.684
163,7.27,1,0.071077939,14,114.2518,1997,2,0,0,2618.5914
164,6.155,0,0.094659871,10,214.556,1997,2,0,0,2769.728
167,12.15,0,0.042485444,3,125.0046,2009,1,2,1,1743.0644
169,12.6,1,0.0489808,1,61.9194,2009,1,2,1,619.194
170,14.5,1,0.019471688,11,164.821,2004,2,1,0,2120.573
172,11.8,0,0.057373797,10,151.4366,1987,0,2,0,1360.2294
173,13.1,0,0.044155597,6,178.8318,1987,0,2,0,3969.4996
183,5.75,0,0.075107656,4,112.8176,1987,0,2,0,1374.2112
185,11.35,0,0.045165796,13,100.0016,2009,1,2,1,1012.016
187,14,1,0.028907832,8,130.431,1999,1,0,0,778.986
189,6.525,1,0.090436094,9,85.0882,1999,1,0,0,2233.0932
190,10.3,1,0.146399712,10,103.9648,1999,1,0,0,1661.8368
